Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.08      6.68     6.68 645934982     0.00     0.00  b2Vec2::b2Vec2(float, float)
                0.00    0.00  353050/70884126     b2Sweep::GetTransform(b2Transform*, float) const [71]
                0.01    0.00  461465/70884126     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.01    0.01  588906/70884126     b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [41]
                0.01    0.01  922535/70884126     b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [42]
                0.02    0.01 1297236/70884126     b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [25]
                0.03    0.03 2426556/70884126     b2ContactSolver::WarmStart() [18]
                0.03    0.03 2613497/70884126     b2ContactSolver::InitializeVelocityConstraints() [13]
                0.06    0.05 5226994/70884126     b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [17]
                0.68    0.58 56447126/70884126     b2ContactSolver::SolveVelocityConstraints() [1]
[9]      5.3    0.86    0.73 70884126         operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.73    0.00 70884126/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[10]     5.2    1.14    0.44                 b2Mul(b2Transform const&, b2Vec2 const&) [10]
                0.44    0.00 42641793/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00      26/127788570     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00      82/127788570     b2PolygonShape::Set(b2Vec2 const*, int) [171]
                0.00    0.00     144/127788570     b2Simplex::GetMetric() const [170]
                0.00    0.00    2550/127788570     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00   12000/127788570     b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00   14000/127788570     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00   35136/127788570     b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00   36000/127788570     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   42000/127788570     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   96000/127788570     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00  112000/127788570     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.00    0.00  145660/127788570     b2Simplex::GetSearchDirection() const [129]
                0.00    0.00  340992/127788570     b2Simplex::Solve3() [108]
                0.06    0.00 4853112/127788570     b2ContactSolver::WarmStart() [18]
                0.18    0.00 15583844/127788570     b2ContactSolver::InitializeVelocityConstraints() [13]
                0.34    0.00 28771620/127788570     b2ContactSolver::SolvePositionConstraints() [5]
                0.91    0.00 77743404/127788570     b2ContactSolver::SolveVelocityConstraints() [1]
[11]     4.9    1.49    0.00 127788570         b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
-----------------------------------------------
                                                 <spontaneous>
[12]     3.2    0.55    0.43                 b2Mul(b2Rot const&, b2Vec2 const&) [12]
                0.43    0.00 41728401/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[13]     3.0    0.34    0.58                 b2ContactSolver::InitializeVelocityConstraints() [13]
                0.14    0.14 13116054/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.18    0.00 15583844/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.03    0.03 2613497/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.02    0.01 1331033/1331033     b2WorldManifold::b2WorldManifold() [65]
                0.02    0.00 2196928/14397842     b2Vec2::Set(float, float) [38]
                0.01    0.00 1331033/3991606     b2Contact::GetManifold() [73]
-----------------------------------------------
                                                 <spontaneous>
[14]     2.7    0.81    0.00                 b2Dot(b2Vec2 const&, b2Vec2 const&) [14]
-----------------------------------------------
                                                 <spontaneous>
[15]     2.2    0.21    0.45                 float b2Clamp<float>(float, float, float) [15]
                0.23    0.00 26693674/35556446     float b2Max<float>(float, float) [27]
                0.22    0.00 26693674/41260163     float b2Min<float>(float, float) [24]
-----------------------------------------------
                0.00    0.00      26/40808439     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00    1278/40808439     b2Body::ResetMassData() [151]
                0.00    0.00    2986/40808439     b2Island::SolveTOI(b2TimeStep const&, int, int) [89]
                0.00    0.00    2992/40808439     b2Sweep::Advance(float) [153]
                0.00    0.00    5100/40808439     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00    6000/40808439     b2WeldJoint::InitVelocityConstraints(b2SolverData const&) [142]
                0.00    0.00    7000/40808439     b2RevoluteJoint::InitVelocityConstraints(b2SolverData const&) [140]
                0.00    0.00    8784/40808439     b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00   18000/40808439     b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [85]
                0.00    0.00   21000/40808439     b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [84]
                0.00    0.00   48000/40808439     b2WeldJoint::SolveVelocityConstraints(b2SolverData const&) [111]
                0.00    0.00   56000/40808439     b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [79]
                0.01    0.00  927697/40808439     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.04    0.00 2426556/40808439     b2ContactSolver::WarmStart() [18]
                0.10    0.00 7192905/40808439     b2ContactSolver::SolvePositionConstraints() [5]
                0.44    0.00 30084115/40808439     b2ContactSolver::SolveVelocityConstraints() [1]
[16]     2.0    0.59    0.00 40808439         b2Vec2::operator+=(b2Vec2 const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     1.9    0.11    0.45                 b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [17]
                0.09    0.08 7840491/144091499     operator*(float, b2Vec2 const&) [4]
                0.08    0.08 7840491/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.06    0.05 5226994/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                                                 <spontaneous>
[18]     1.6    0.12    0.35                 b2ContactSolver::WarmStart() [18]
                0.11    0.10 9706224/144091499     operator*(float, b2Vec2 const&) [4]
                0.06    0.00 4853112/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.03    0.03 2426556/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.04    0.00 2426556/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
-----------------------------------------------
                                                 <spontaneous>
[19]     1.5    0.45    0.00                 b2Vec2::operator-=(b2Vec2 const&) [19]
-----------------------------------------------
                                                 <spontaneous>
[20]     1.2    0.21    0.15                 b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [20]
                0.08    0.07 7201689/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[21]     1.2    0.27    0.09                 b2Transform::b2Transform() [21]
                0.09    0.00 23632988/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[22]     1.1    0.17    0.18                 b2Mul(b2Mat22 const&, b2Vec2 const&) [22]
                0.18    0.00 17575424/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[23]     1.1    0.26    0.08                 b2World::SolveTOI(b2TimeStep const&) [23]
                0.04    0.00 11494876/22254408     b2Fixture::GetBody() [48]
                0.03    0.00 5747438/8109683     b2Contact::GetFixtureA() [58]
                0.01    0.00 5747438/8109683     b2Contact::GetFixtureB() [72]
                0.00    0.00  118166/6788844     b2Fixture::GetShape() [62]
                0.00    0.00    2776/41260163     float b2Min<float>(float, float) [24]
                0.00    0.00    2986/491212      b2Body::SetAwake(bool) [169]
-----------------------------------------------
                0.00    0.00    2776/41260163     b2World::SolveTOI(b2TimeStep const&) [23]
                0.00    0.00    8784/41260163     b2ContactSolver::SolveTOIPositionConstraints(int, int) [134]
                0.00    0.00  127304/41260163     b2EPCollider::ComputePolygonSeparation() [107]
                0.00    0.00  358666/41260163     b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.06    0.00 6876054/41260163     b2Min(b2Vec2 const&, b2Vec2 const&) [33]
                0.06    0.00 7192905/41260163     b2ContactSolver::SolvePositionConstraints() [5]
                0.22    0.00 26693674/41260163     float b2Clamp<float>(float, float, float) [15]
[24]     1.1    0.34    0.00 41260163         float b2Min<float>(float, float) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     1.1    0.24    0.08                 b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [25]
                0.02    0.01 1297236/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.01    0.01 1297236/144091499     operator*(float, b2Vec2 const&) [4]
                0.01    0.01 1297236/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                0.00    0.00       1/87621152     __static_initialization_and_destruction_0(int, int) [185]
                0.00    0.00       1/87621152     cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00       1/87621152     b2World::b2World(b2Vec2 const&) [189]
                0.00    0.00       4/87621152     b2CircleShape::b2CircleShape() [181]
                0.00    0.00       6/87621152     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00       8/87621152     b2EdgeShape::b2EdgeShape() [182]
                0.00    0.00      12/87621152     b2WeldJointDef::b2WeldJointDef() [177]
                0.00    0.00      14/87621152     b2RevoluteJointDef::b2RevoluteJointDef() [176]
                0.00    0.00      26/87621152     cs296::dominos_t::dominos_t() [115]
                0.00    0.00      36/87621152     b2WeldJoint::b2WeldJoint(b2WeldJointDef const*) [179]
                0.00    0.00      42/87621152     b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*) [178]
                0.00    0.00      48/87621152     b2PolygonShape::Set(b2Vec2 const*, int) [171]
                0.00    0.00     637/87621152     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00     639/87621152     b2MassData::b2MassData() [173]
                0.00    0.00    1286/87621152     b2BodyDef::b2BodyDef() [116]
                0.00    0.00    1286/87621152     b2Body::b2Body(b2BodyDef const*, b2World*) [166]
                0.00    0.00    4096/87621152     cs296::contact_point_t::contact_point_t() [165]
                0.00    0.00    6302/87621152     b2ManifoldPoint::b2ManifoldPoint() [163]
                0.00    0.00    6302/87621152     b2Manifold::b2Manifold() [162]
                0.00    0.00   11203/87621152     b2PolygonShape::b2PolygonShape() [157]
                0.00    0.00   21000/87621152     b2Mat22::Solve(b2Vec2 const&) const [154]
                0.00    0.00   55995/87621152     b2Mat33::Solve22(b2Vec2 const&) const [150]
                0.00    0.00  115236/87621152     b2SeparationFunction::b2SeparationFunction() [145]
                0.00    0.00  121112/87621152     b2DistanceOutput::b2DistanceOutput() [144]
                0.00    0.00  159130/87621152     b2ReferenceFace::b2ReferenceFace() [112]
                0.00    0.00  204743/87621152     b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [63]
                0.00    0.00  364298/87621152     b2EPCollider::b2EPCollider() [136]
                0.00    0.00  472664/87621152     b2DistanceProxy::b2DistanceProxy() [135]
                0.00    0.00  529888/87621152     b2TempPolygon::b2TempPolygon() [133]
                0.00    0.00  545004/87621152     b2SimplexVertex::b2SimplexVertex() [86]
                0.00    0.00  702135/87621152     b2Sweep::b2Sweep() [110]
                0.01    0.00 2089470/87621152     b2AABB::b2AABB() [109]
                0.01    0.00 2238928/87621152     b2Mat22::b2Mat22() [78]
                0.01    0.00 3940854/87621152     b2TestOverlap(b2AABB const&, b2AABB const&) [34]
                0.01    0.00 3993099/87621152     b2WorldManifold::b2WorldManifold() [65]
                0.02    0.00 5112000/87621152     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
                0.03    0.00 7974372/87621152     b2ClipVertex::b2ClipVertex() [50]
                0.03    0.00 8787712/87621152     b2ContactSolver::SolveVelocityConstraints() [1]
                0.04    0.00 12125196/87621152     b2Vec2::operator-() const [29]
                0.05    0.00 14403378/87621152     b2PositionSolverManifold::b2PositionSolverManifold() [43]
                0.09    0.00 23632988/87621152     b2Transform::b2Transform() [21]
[26]     1.1    0.32    0.00 87621152         b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00    8000/35556446     cs296::base_sim_t::step(cs296::settings_t*) [155]
                0.00    0.00  118166/35556446     b2TimeOfImpact(b2TOIOutput*, b2TOIInput const*) [139]
                0.02    0.00 1860552/35556446     b2ContactSolver::SolveVelocityConstraints() [1]
                0.06    0.00 6876054/35556446     b2Max(b2Vec2 const&, b2Vec2 const&) [35]
                0.23    0.00 26693674/35556446     float b2Clamp<float>(float, float, float) [15]
[27]     1.0    0.30    0.00 35556446         float b2Max<float>(float, float) [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.9    0.20    0.07                 b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [28]
                0.04    0.00 5226994/5873886     b2Vec2::SetZero() [59]
                0.02    0.00 2662066/6788844     b2Fixture::GetShape() [62]
                0.01    0.00 2662066/22254408     b2Fixture::GetBody() [48]
                0.01    0.00 1331033/3991606     b2Contact::GetManifold() [73]
-----------------------------------------------
                                                 <spontaneous>
[29]     0.9    0.10    0.17                 b2Vec2::operator-() const [29]
                0.12    0.00 12125196/14397842     b2Vec2::Set(float, float) [38]
                0.04    0.00 12125196/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[30]     0.9    0.08    0.18                 b2Cross(b2Vec2 const&, float) [30]
                0.18    0.00 17315273/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[31]     0.7    0.05    0.17                 b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
                0.09    0.00  461465/463384      b2Vec2::operator*=(float) [44]
                0.03    0.02 2316859/144091499     operator*(float, b2Vec2 const&) [4]
                0.01    0.00  927697/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.01    0.00  461465/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00  358666/41260163     float b2Min<float>(float, float) [24]
                0.00    0.00     646/491212      b2Body::SetAwake(bool) [169]
-----------------------------------------------
                                                 <spontaneous>
[32]     0.7    0.22    0.00                 b2World::Solve(b2TimeStep const&) [32]
                0.00    0.00  466232/491212      b2Body::SetAwake(bool) [169]
-----------------------------------------------
                                                 <spontaneous>
[33]     0.6    0.09    0.09                 b2Min(b2Vec2 const&, b2Vec2 const&) [33]
                0.06    0.00 6876054/41260163     float b2Min<float>(float, float) [24]
                0.04    0.00 3438027/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[34]     0.6    0.08    0.10                 b2TestOverlap(b2AABB const&, b2AABB const&) [34]
                0.04    0.04 3940854/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00 3940854/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[35]     0.6    0.08    0.09                 b2Max(b2Vec2 const&, b2Vec2 const&) [35]
                0.06    0.00 6876054/35556446     float b2Max<float>(float, float) [27]
                0.04    0.00 3438027/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[36]     0.5    0.13    0.03                 b2Contact::Update(b2ContactListener*) [36]
                0.01    0.00 3366612/22254408     b2Fixture::GetBody() [48]
                0.01    0.00 1331033/1331033     b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [90]
                0.00    0.00 3366612/4035612     b2Body::GetTransform() const [117]
                0.00    0.00   15046/491212      b2Body::SetAwake(bool) [169]
                0.00    0.00    4675/4675        b2ContactListener::BeginContact(b2Contact*) [199]
                0.00    0.00    2848/2848        b2ContactListener::EndContact(b2Contact*) [200]
-----------------------------------------------
                                                 <spontaneous>
[37]     0.5    0.15    0.00                 b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) [37]
-----------------------------------------------
                0.00    0.00       1/14397842     cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00       6/14397842     ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00      12/14397842     b2WeldJointDef::b2WeldJointDef() [177]
                0.00    0.00      14/14397842     b2RevoluteJointDef::b2RevoluteJointDef() [176]
                0.00    0.00      80/14397842     b2PolygonShape::SetAsBox(float, float) [175]
                0.00    0.00     637/14397842     b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.00    0.00     694/14397842     cs296::dominos_t::dominos_t() [115]
                0.00    0.00    1286/14397842     b2BodyDef::b2BodyDef() [116]
                0.00    0.00    8044/14397842     b2CircleShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [152]
                0.00    0.00   64944/14397842     b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [66]
                0.02    0.00 2196928/14397842     b2ContactSolver::InitializeVelocityConstraints() [13]
                0.12    0.00 12125196/14397842     b2Vec2::operator-() const [29]
[38]     0.5    0.15    0.00 14397842         b2Vec2::Set(float, float) [38]
-----------------------------------------------
                                                 <spontaneous>
[39]     0.5    0.10    0.05                 b2MulT(b2Rot const&, b2Vec2 const&) [39]
                0.05    0.00 4769667/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[40]     0.5    0.11    0.03                 b2ContactManager::Collide() [40]
                0.02    0.00 4684196/22254408     b2Fixture::GetBody() [48]
                0.01    0.00 2342098/8109683     b2Contact::GetFixtureA() [58]
                0.01    0.00 2342098/8109683     b2Contact::GetFixtureB() [72]
-----------------------------------------------
                                                 <spontaneous>
[41]     0.4    0.09    0.04                 b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [41]
                0.01    0.01  588906/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.01    0.01  588906/144091499     operator*(float, b2Vec2 const&) [4]
                0.01    0.01  588906/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[42]     0.4    0.07    0.05                 b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [42]
                0.01    0.01  922535/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.01    0.01  922535/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.01    0.00  922535/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[43]     0.4    0.06    0.05                 b2PositionSolverManifold::b2PositionSolverManifold() [43]
                0.05    0.00 14403378/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00       6/463384      ComputeCentroid(b2Vec2 const*, int) [172]
                0.00    0.00     639/463384      b2Body::ResetMassData() [151]
                0.00    0.00    1274/463384      b2PolygonShape::ComputeMass(b2MassData*, float) const [143]
                0.09    0.00  461465/463384      b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool) [31]
[44]     0.3    0.10    0.00  463384         b2Vec2::operator*=(float) [44]
-----------------------------------------------
                                                 <spontaneous>
[45]     0.3    0.03    0.06                 b2MulT(b2Transform const&, b2Transform const&) [45]
                0.03    0.03 3005137/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[46]     0.3    0.03    0.06                 b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
                0.03    0.00  639000/639000      debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [67]
                0.02    0.00 5112000/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00  642000/6788844     b2Fixture::GetShape() [62]
                0.00    0.00    2000/2000        debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [130]
                0.00    0.00    2000/645934982     b2Vec2::b2Vec2(float, float) [2]
                0.00    0.00    1000/40000       debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [198]
-----------------------------------------------
                                                 <spontaneous>
[47]     0.3    0.09    0.00                 b2Rot::Set(float) [47]
-----------------------------------------------
                0.00    0.00    1612/22254408     b2ContactManager::Destroy(b2Contact*) [167]
                0.00    0.00   45046/22254408     b2ContactManager::AddPair(void*, void*) [148]
                0.01    0.00 2662066/22254408     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [28]
                0.01    0.00 3366612/22254408     b2Contact::Update(b2ContactListener*) [36]
                0.02    0.00 4684196/22254408     b2ContactManager::Collide() [40]
                0.04    0.00 11494876/22254408     b2World::SolveTOI(b2TimeStep const&) [23]
[48]     0.3    0.08    0.00 22254408         b2Fixture::GetBody() [48]
-----------------------------------------------
                                                 <spontaneous>
[49]     0.3    0.08    0.00                 b2Body::IsAwake() const [49]
-----------------------------------------------
                                                 <spontaneous>
[50]     0.3    0.05    0.03                 b2ClipVertex::b2ClipVertex() [50]
                0.03    0.00 7974372/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[51]     0.3    0.05    0.03                 b2MulT(b2Transform const&, b2Vec2 const&) [51]
                0.03    0.00 2613497/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[52]     0.2    0.06    0.00                 b2Fixture::IsSensor() const [52]
-----------------------------------------------
                                                 <spontaneous>
[53]     0.2    0.05    0.01                 b2ContactSolver::StoreImpulses() [53]
                0.01    0.00 1329540/3991606     b2Contact::GetManifold() [73]
-----------------------------------------------
                                                 <spontaneous>
[54]     0.2    0.05    0.00                 b2MulT(b2Rot const&, b2Rot const&) [54]
-----------------------------------------------
                                                 <spontaneous>
[55]     0.2    0.05    0.00                 b2Island::Report(b2ContactVelocityConstraint const*) [55]
                0.00    0.00 1331033/1331033     b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [196]
-----------------------------------------------
                                                 <spontaneous>
[56]     0.2    0.03    0.02                 b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&) [56]
                0.00    0.00  462958/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.01  925916/1044735     b2AABB::b2AABB() [109]
-----------------------------------------------
                                                 <spontaneous>
[57]     0.1    0.03    0.02                 b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [57]
                0.02    0.00 3296356/6788844     b2Fixture::GetShape() [62]
-----------------------------------------------
                0.00    0.00     806/8109683     b2ContactManager::Destroy(b2Contact*) [167]
                0.00    0.00   19341/8109683     b2ContactManager::AddPair(void*, void*) [148]
                0.01    0.00 2342098/8109683     b2ContactManager::Collide() [40]
                0.03    0.00 5747438/8109683     b2World::SolveTOI(b2TimeStep const&) [23]
[58]     0.1    0.04    0.00 8109683         b2Contact::GetFixtureA() [58]
-----------------------------------------------
                0.00    0.00       4/5873886     b2CircleShape::b2CircleShape() [181]
                0.00    0.00      10/5873886     b2PolygonShape::SetAsBox(float, float) [175]
                0.00    0.00     641/5873886     b2Body::ResetMassData() [151]
                0.00    0.00     659/5873886     b2PolygonShape::b2PolygonShape() [157]
                0.00    0.00    1286/5873886     b2Body::b2Body(b2BodyDef const*, b2World*) [166]
                0.00    0.00    1292/5873886     b2Body::SetAwake(bool) [169]
                0.00    0.00  643000/5873886     b2World::ClearForces() [83]
                0.04    0.00 5226994/5873886     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [28]
[59]     0.1    0.04    0.00 5873886         b2Vec2::SetZero() [59]
-----------------------------------------------
                                                 <spontaneous>
[60]     0.1    0.04    0.00                 b2Mat22::SetZero() [60]
-----------------------------------------------
                                                 <spontaneous>
[61]     0.1    0.04    0.00                 b2Mat22::GetInverse() const [61]
-----------------------------------------------
                0.00    0.00    4020/6788844     b2EdgeAndCircleContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [161]
                0.00    0.00   66236/6788844     b2EdgeAndPolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [147]
                0.00    0.00  118166/6788844     b2World::SolveTOI(b2TimeStep const&) [23]
                0.00    0.00  642000/6788844     b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
                0.02    0.00 2662066/6788844     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [28]
                0.02    0.00 3296356/6788844     b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [57]
[62]     0.1    0.04    0.00 6788844         b2Fixture::GetShape() [62]
-----------------------------------------------
                                                 <spontaneous>
[63]     0.1    0.03    0.01                 b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [63]
                0.00    0.00  204743/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00  204743/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[64]     0.1    0.04    0.00                 b2Vec2::Length() const [64]
-----------------------------------------------
                0.02    0.01 1331033/1331033     b2ContactSolver::InitializeVelocityConstraints() [13]
[65]     0.1    0.02    0.01 1331033         b2WorldManifold::b2WorldManifold() [65]
                0.01    0.00 3993099/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[66]     0.1    0.03    0.00                 b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [66]
                0.00    0.00  129888/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00   64944/14397842     b2Vec2::Set(float, float) [38]
-----------------------------------------------
                0.03    0.00  639000/639000      b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
[67]     0.1    0.03    0.00  639000         debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [67]
-----------------------------------------------
                                                 <spontaneous>
[68]     0.1    0.03    0.00                 b2Vec2::Normalize() [68]
-----------------------------------------------
                                                 <spontaneous>
[69]     0.1    0.03    0.00                 b2Contact::IsEnabled() const [69]
-----------------------------------------------
                                                 <spontaneous>
[70]     0.1    0.03    0.00                 b2Rot::b2Rot() [70]
-----------------------------------------------
                                                 <spontaneous>
[71]     0.1    0.00    0.02                 b2Sweep::GetTransform(b2Transform*, float) const [71]
                0.01    0.01  706100/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00  353050/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
-----------------------------------------------
                0.00    0.00     806/8109683     b2ContactManager::Destroy(b2Contact*) [167]
                0.00    0.00   19341/8109683     b2ContactManager::AddPair(void*, void*) [148]
                0.01    0.00 2342098/8109683     b2ContactManager::Collide() [40]
                0.01    0.00 5747438/8109683     b2World::SolveTOI(b2TimeStep const&) [23]
[72]     0.1    0.02    0.00 8109683         b2Contact::GetFixtureB() [72]
-----------------------------------------------
                0.01    0.00 1329540/3991606     b2ContactSolver::StoreImpulses() [53]
                0.01    0.00 1331033/3991606     b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [28]
                0.01    0.00 1331033/3991606     b2ContactSolver::InitializeVelocityConstraints() [13]
[73]     0.1    0.02    0.00 3991606         b2Contact::GetManifold() [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.1    0.02    0.00                 b2TreeNode::IsLeaf() const [74]
-----------------------------------------------
